match_id,season,start_date,venue,inning,ball,batting_team,bowling_team,batsman,non_striker,bowler,batsman_runs,extras,wides,noballs,byes,legbyes,penalty,dismissal_kind2,player_dismissed,is_wkt,total_runs,over,is_dot,is_one,is_two,is_three,is_four,is_six,bowler_wkt,bat_fantasy_pts,ball_fantasy_pts,batting_style,bowling_style,bowling_pace_spin,ball_speed,line,length,shot,fielder_name
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,0.1,Pakistan,Sri Lanka,Muneeba Ali,Gull Feroza,Udeshika Prabodhani,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0,0,0,0,0,Left-hand bat,left arm medium,Pace,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,0.2,Pakistan,Sri Lanka,Muneeba Ali,Gull Feroza,Udeshika Prabodhani,1,0,0,0,0,0,0,,,0,1,1,0,1,0,0,0,0,0,1,0,Left-hand bat,left arm medium,Pace,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,0.3,Pakistan,Sri Lanka,Gull Feroza,Muneeba Ali,Udeshika Prabodhani,1,0,0,0,0,0,0,,,0,1,1,0,1,0,0,0,0,0,1,0,Right-hand bat,left arm medium,Pace,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,0.4,Pakistan,Sri Lanka,Muneeba Ali,Gull Feroza,Udeshika Prabodhani,2,0,0,0,0,0,0,,,0,2,1,0,0,1,0,0,0,0,2,0,Left-hand bat,left arm medium,Pace,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,0.5,Pakistan,Sri Lanka,Muneeba Ali,Gull Feroza,Udeshika Prabodhani,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0,0,0,0,0,Left-hand bat,left arm medium,Pace,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,0.6,Pakistan,Sri Lanka,Muneeba Ali,Gull Feroza,Udeshika Prabodhani,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0,0,0,0,0,Left-hand bat,left arm medium,Pace,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,1.1,Pakistan,Sri Lanka,Gull Feroza,Muneeba Ali,Sugandika Kumari,0,0,0,0,0,0,0,,,0,0,2,1,0,0,0,0,0,0,0,0,Right-hand bat,slow left arm orthodox,Spin,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,1.2,Pakistan,Sri Lanka,Gull Feroza,Muneeba Ali,Sugandika Kumari,1,0,0,0,0,0,0,,,0,1,2,0,1,0,0,0,0,0,1,0,Right-hand bat,slow left arm orthodox,Spin,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,1.3,Pakistan,Sri Lanka,Muneeba Ali,Gull Feroza,Sugandika Kumari,0,0,0,0,0,0,0,,,0,0,2,1,0,0,0,0,0,0,0,0,Left-hand bat,slow left arm orthodox,Spin,,,,,
1432423,2024,10/3/2024,Sharjah Cricket Stadium,1,1.4,Pakistan,Sri Lanka,Muneeba Ali,Gull Feroza,Sugandika Kumari,0,0,0,0,0,0,0,,,0,0,2,1,0,0,0,0,0,0,0,0,Left-hand bat,slow left arm orthodox,Spin,,,,,
